TSP Instance,Number of Cities,Optimal Distance,My Distance,Success Rate (%),Runtime (s),PARAMETERS,POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,NUMBER_OF_GENERATIONS,TIME_LIMIT
gr202,202,40160.0,200850.0,19.995021160069705,1259.267,,800,2,0.07,1492,1200
gr202,202,40160.0,197108.0,20.374616961259818,1259.601,,800,2,0.07,1257,1200
