TSP Instance,Number of Cities,Optimal Distance,My Distance,Success Rate (%),Runtime (s),PARAMETERS,POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,NUMBER_OF_GENERATIONS,TIME_LIMIT
gr202,202,40160.0,186653.0,21.51586098267909,1259.928,,100,2,0.07,12022,1200
gr202,202,40160.0,190598.0,21.070525399007334,1259.901,,200,2,0.07,5039,1200
gr202,202,40160.0,192741.0,20.836251757539912,1259.958,,400,2,0.07,4090,1200
gr202,202,40160.0,199116.0,20.169147632535807,1259.440,,800,2,0.07,2463,1200
gr202,202,40160.0,199188.0,20.161857139988353,1610.958,,1600,2,0.07,437,1200
gr202,202,40160.0,198723.0,20.20903468647313,1259.092,,3200,2,0.07,563,1200
gr202,202,40160.0,201254.0,19.954882884315342,1257.971,,6400,2,0.07,320,1200
