TSP Instance,Number of Cities,Optimal Distance,My Distance,Success Rate (%),Runtime (s),PARAMETERS,POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,NUMBER_OF_GENERATIONS,TIME_LIMIT
gr202,202,40160.0,211885.0,18.95367770252731,85.187,,800,2,0.07,100,60000
gr202,202,40160.0,211074.0,19.026502553606793,169.602,,800,2,0.07,200,60000
gr202,202,40160.0,202678.0,19.81468141584188,336.635,,800,2,0.07,400,60000
gr202,202,40160.0,194352.0,20.663538322219477,680.010,,800,2,0.07,800,60000
gr202,202,40160.0,200710.0,20.008968163021272,1486.531,,800,2,0.07,1600,60000
gr202,202,40160.0,198327.0,20.249386114850726,1796.025,,800,2,0.07,3200,60000
gr202,202,40160.0,194504.0,20.6473902850327,4493.295,,800,2,0.07,6400,60000
