TSP Instance,Number of Cities,Optimal Distance,My Distance,Success Rate (%),Runtime (s),PARAMETERS,POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,NUMBER_OF_GENERATIONS,TIME_LIMIT
berlin52,52,7542.0,15048.0,50.119617224880386,1259.960,,800,2,0.07,7588,1200
berlin52,52,7542.0,21347.0,35.33049140394435,1260.002,,N/A,N/A,N/A,4952163,1200
berlin52,52,7542.0,8181.0,92.18921892189219,1260.001,,N/A,N/A,N/A,1679114,1200
gr202,202,40160.0,196858.0,20.400491724999746,1259.693,,800,2,0.07,2464,1200
gr202,202,40160.0,233804.0,17.176780551230948,1610.491,,N/A,N/A,N/A,1823472,1200
gr202,202,40160.0,47060.0,85.33786655333616,1259.997,,N/A,N/A,N/A,173090,1200
pa561,561,2763.0,32183.0,8.5852779417705,1259.772,,800,2,0.07,453,1200
pa561,561,2763.0,33760.0,8.184241706161137,8672.014,,N/A,N/A,N/A,395717,1200
pa561,561,2763.0,3279.0,84.26349496797805,1259.971,,N/A,N/A,N/A,25533,1200
