TSP Instance,Number of Cities,Optimal Distance,My Distance,Success Rate (%),Runtime (s),PARAMETERS,POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,NUMBER_OF_GENERATIONS,TIME_LIMIT
gr202,202,40160.0,200347.0,20.04522154062701,423.072,,800,2,0.0,500,1200
gr202,202,40160.0,202158.0,19.865649640380298,421.565,,800,2,0.01,500,1200
gr202,202,40160.0,202379.0,19.843956141694544,429.141,,800,2,0.04,500,1200
gr202,202,40160.0,202348.0,19.846996263862255,497.884,,800,2,0.07,500,1200
gr202,202,40160.0,201651.0,19.91559674883834,510.595,,800,2,0.1,500,1200
gr202,202,40160.0,209424.0,19.176407670563066,414.373,,800,2,1.0,500,1200
gr202,202,40160.0,207670.0,19.338373380844608,333.392,,800,2,5.0,500,1200
