TSP Instance,Number of Cities,Optimal Distance,My Distance,Success Rate (%),Runtime (s),PARAMETERS,POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,NUMBER_OF_GENERATIONS,TIME_LIMIT
gr202,202,40160.0,199584.0,20.121853455186788,1259.629,,800,2,0.07,1497,1200
gr202,202,40160.0,100980.0,39.77025153495742,1259.512,,800,2,0.07,1323,1200
